Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1961","1961","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1962","1962","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1963","1963","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1964","1964","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1965","1965","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1966","1966","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1967","1967","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1968","1968","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1969","1969","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1970","1970","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1971","1971","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1972","1972","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1973","1973","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1974","1974","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1975","1975","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1976","1976","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1977","1977","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1978","1978","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1979","1979","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1980","1980","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1981","1981","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1982","1982","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1983","1983","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1984","1984","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1985","1985","","","","",""
