"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"DAE00100417","TINGLEV, DA","54.9331","9.25","23.0","1996","598.3",,,
"DAE00100417","TINGLEV, DA","54.9331","9.25","23.0","1997","771.8",,,
"DAE00100417","TINGLEV, DA","54.9331","9.25","23.0","1998","1032.1",,,
"DAE00100417","TINGLEV, DA","54.9331","9.25","23.0","1999","1018.4",,,
"DAE00100417","TINGLEV, DA","54.9331","9.25","23.0","2000","808.3",,,
"DAE00100417","TINGLEV, DA","54.9331","9.25","23.0","2001","905.9",,,
"DAE00100417","TINGLEV, DA","54.9331","9.25","23.0","2002","1054.6",,,
"DAE00100417","TINGLEV, DA","54.9331","9.25","23.0","2003","669.2",,,
"DAE00100417","TINGLEV, DA","54.9331","9.25","23.0","2004","1017.6",,,
"DAE00100417","TINGLEV, DA","54.9331","9.25","23.0","2005","830.9",,,
"DAE00100417","TINGLEV, DA","54.9331","9.25","23.0","2006","741.8",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","1988","1097.5",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","1989","674.7",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","1990","988.1",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","1991","843.2",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","1992","825.9",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","1993","837.7",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","1994","1019.6",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","1995","776.1",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","1996","566.0",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","1997","815.5",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","1998","1081.3",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","1999","1084.5",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","2000","806.4",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","2001","840.8",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","2002","1002.1",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","2003","669.4",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","2004","979.0",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","2005","792.8",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","2006","789.5",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","2007","994.8",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","2008","908.3",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","2009","975.4",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","2010","836.5",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","2011","928.2",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","2012","910.1",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","2013","922.1",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","2014","1186.5",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","2015","1068.2",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","2016","923.7",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","2017","1090.9",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","2018","703.4",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","2019","1139.9",,,
"DAE00100416","STORE JYNDEVAD, DA","54.9","9.1331","16.0","2020","908.4",,,
"DAM00006030","FLYVESTATION AALBORG, DA","57.093","9.849","3.0","1973","507.4",,,
"DAM00006030","FLYVESTATION AALBORG, DA","57.093","9.849","3.0","1974","554.0",,,
"DAM00006030","FLYVESTATION AALBORG, DA","57.093","9.849","3.0","1976","461.8",,,
"DAM00006030","FLYVESTATION AALBORG, DA","57.093","9.849","3.0","1978","620.9",,,
"DAM00006030","FLYVESTATION AALBORG, DA","57.093","9.849","3.0","1979","700.5",,,
"DAM00006030","FLYVESTATION AALBORG, DA","57.093","9.849","3.0","1980","706.9",,,
"DAM00006030","FLYVESTATION AALBORG, DA","57.093","9.849","3.0","1981","758.7",,,
"DAM00006030","FLYVESTATION AALBORG, DA","57.093","9.849","3.0","2006","805.0",,,
"DAM00006030","FLYVESTATION AALBORG, DA","57.093","9.849","3.0","2007","714.6",,,
"DAM00006030","FLYVESTATION AALBORG, DA","57.093","9.849","3.0","2008","606.1",,,
"DAM00006030","FLYVESTATION AALBORG, DA","57.093","9.849","3.0","2009","604.7",,,
"DAM00006030","FLYVESTATION AALBORG, DA","57.093","9.849","3.0","2010","565.6",,,
"DAM00006030","FLYVESTATION AALBORG, DA","57.093","9.849","3.0","2011","666.5",,,
"DAM00006030","FLYVESTATION AALBORG, DA","57.093","9.849","3.0","2012","609.5",,,
"DAM00006030","FLYVESTATION AALBORG, DA","57.093","9.849","3.0","2013","572.0",,,
"DAM00006030","FLYVESTATION AALBORG, DA","57.093","9.849","3.0","2014","700.0",,,
"DAM00006030","FLYVESTATION AALBORG, DA","57.093","9.849","3.0","2018","512.6",,,
"DAM00006030","FLYVESTATION AALBORG, DA","57.093","9.849","3.0","2020","617.1",,,
